id,first_name,last_name,username,password,email,phone,address,city,postal_code,item,price,description,details,notes
1,Frazier,Thomazet,fthomazet0,9ffKlBr7Aib,fthomazet0@mayoclinic.com,339-438-5908,439 1st Avenue,Épinal,88084 CEDEX 9,Compound - Orange,91.83,Aenean auctor gravida sem.,at lorem integer,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
2,Cammi,Dumblton,cdumblton1,mVFDEINuWJTI,cdumblton1@house.gov,201-335-4905,6 Mitchell Hill,Símantra,,Tomato - Green,91.06,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",suspendisse potenti,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
3,Pauletta,Labusquiere,plabusquiere2,uZcfSh,plabusquiere2@geocities.com,124-991-6519,50990 Sunfield Parkway,Wiesbaden,65191,Beer - Original Organic Lager,62.63,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",posuere metus,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
4,Otes,McKinnell,omckinnell3,nvGrSv,omckinnell3@blogspot.com,938-148-9525,09 Hazelcrest Street,Zhuting,,Fudge - Cream Fudge,59.39,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",interdum in ante,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
5,Clarita,Lutzmann,clutzmann4,Yle4KQ3wlWyc,clutzmann4@elpais.com,371-973-7031,229 Hoard Junction,Delmiro Gouveia,57480-000,Creme De Menth - White,15.77,Fusce consequat. Nulla nisl. Nunc nisl.,lobortis vel,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
6,Fran,Carbonell,fcarbonell5,5VPnzYAJ,fcarbonell5@bing.com,721-571-4784,6 Ridgeway Point,Huarong,,Cornflakes,14.22,Proin risus. Praesent lectus.,turpis adipiscing lorem vitae,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
7,Drake,Pratley,dpratley6,btOoe5,dpratley6@bbb.org,153-256-8635,267 Comanche Parkway,Tagta,,Cheese - Swiss Sliced,20.9,Donec dapibus.,aliquam non,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
8,Nessi,Andrys,nandrys7,NZ8TqaZbMhVx,nandrys7@themeforest.net,731-372-2948,0541 Sunbrook Pass,Mont-Saint-Aignan,76821 CEDEX,Table Cloth 54x54 White,32.17,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",tempor convallis nulla,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
9,Fleurette,Mitcheson,fmitcheson8,CuM7OZQ,fmitcheson8@xing.com,253-429-8647,2 Rowland Avenue,Yanjiang,,Cheese - Bakers Cream Cheese,5.93,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",mus vivamus vestibulum sagittis,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
10,Lil,Skillanders,lskillanders9,Lswn4GG,lskillanders9@who.int,878-858-0575,2635 Muir Trail,Portel,7220-357,Napkin Colour,95.94,Integer non velit.,erat eros,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
