id_order_aux,time_placed,details,o_delivery_address
1,20/01/2029,ipsum dolor sit,47 Anderson Point
2,13/02/2026,nulla justo,0 Bashford Point
3,11/05/2029,aliquam augue quam sollicitudin,11825 Sutteridge Road
4,06/12/2028,nulla mollis,1 Debra Terrace
5,12/02/2024,non lectus aliquam sit,24277 Luster Way
6,26/04/2026,dictumst maecenas ut,4599 Independence Hill
7,19/05/2023,etiam pretium iaculis,60 Badeau Place
8,03/07/2023,vel nulla eget eros,078 American Parkway
9,09/03/2024,vitae nisl aenean,43631 Glendale Street
10,03/07/2024,pede justo eu massa,035 Briar Crest Terrace
